"name","sys_class_name","category","version","operational_status"
"123456789a-tes-PublicELB","Applicazioni bilanciamento del carico","ELB","","Operational"
"123456789a01-tes-PublicELB","Applicazioni bilanciamento del carico","ELB","","Operational"
"123456789a02-tes-PublicELB","Applicazioni bilanciamento del carico","ELB","","Operational"
"2bdimprod2-pro","Applicazioni bilanciamento del carico","ELB","","Operational"
"2beat-dev-client1-midpki","Applicazioni bilanciamento del carico","NLB","","Operational"
"2beat-dev-client1-midpki-oc","Applicazioni bilanciamento del carico","NLB","","Operational"
"2beatcks-pro","Applicazioni bilanciamento del carico","NLB","","Operational"
"2beatplt-dev","Applicazioni bilanciamento del carico","ELB","","Operational"
"2beatplt-qua","Applicazioni bilanciamento del carico","ELB","","Operational"
"2bedimpro-pro","Applicazioni bilanciamento del carico","ELB","","Operational"
"2brad-pro","Applicazioni bilanciamento del carico","NLB","","Operational"
"2BRoupro-pro","Applicazioni bilanciamento del carico","NLB","","Operational"
"2BRouSFTP","Applicazioni bilanciamento del carico","NLB","","Operational"
"4elecollws-qua","Applicazioni bilanciamento del carico","NLB","","Operational"
"4elesvil-dev","Applicazioni bilanciamento del carico","ELB","","Operational"
"4elews-pro","Applicazioni bilanciamento del carico","","","Operational"
"aabb7225587a44bff9aea8c204544fb7","Applicazioni bilanciamento del carico","","","Operational"
"aconsu2023-pro","Applicazioni bilanciamento del carico","ALB","","Operational"
"AdapterEMM-pro","Applicazioni bilanciamento del carico","NLB","","Operational"
"AdapterIoT-Dev","Applicazioni bilanciamento del carico","NLB","","Operational"
"AdapterIoT-Perf","Applicazioni bilanciamento del carico","NLB","","Operational"
"AdapterIoT-pro","Applicazioni bilanciamento del carico","NLB","","Operational"
"admlectws02-pro","Applicazioni bilanciamento del carico","","","Operational"
"Adobe CQ 6.5 on claaemweea02","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claaemweea04","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claaemweea05","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claahmonha00","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claahmonha01","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claahmonha02","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmenxa00","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmenxa01","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmenxa02","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmenxa03","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on claawmpola01","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaaemweea02","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaaemweea04","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaaemweea05","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaaemweea06","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaaemweea07","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaahmonha03","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaahmonha04","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaahmonha05","Applicazione","Resource","6.5","Operational"
"Adobe CQ 6.5 on elaahmonha06","Applicazione","Resource","6.5","Operational"
"adosolrex-qua-PublicELB","Applicazioni bilanciamento del carico","ALB","","Operational"
"AD_OT","Server Web","","","Operational"
"AD_OT","Server Web","","","Operational"
"AD_OT2","Server Web","","","Operational"
"AD_OT2","Server Web","","","Operational"
"aemcloudim-qua","Applicazioni bilanciamento del carico","ALB","","Operational"
"aemoncloud-tes","Applicazioni bilanciamento del carico","ALB","","Operational"
"aemoncloud01-tes","Applicazioni bilanciamento del carico","ALB","","Operational"
"aemoncloud03-tes","Applicazioni bilanciamento del carico","ALB","","Operational"
"aemprod4-pro-PublicELB","Applicazioni bilanciamento del carico","ELB","","Operational"
"afaria-conf-prod","Applicazioni bilanciamento del carico","","","Operational"
"afaria-data-prod","Applicazioni bilanciamento del carico","","","Operational"
"AFC & Procurement - SAS","Icona applicazione Citrix","Virtual Applications","","Operational"
"AFC_RISK","Icona applicazione Citrix","Virtual Applications","","Operational"
"agentesgt-pro-PublicELB","Applicazioni bilanciamento del carico","","","Operational"
