"name","short_description","apm_business_process","application_type","architecture_type","install_type","install_status","life_cycle_stage_status","life_cycle_stage","technology_stack","user_base","platform","last_change_date","owned_by","it_application_owner","sys_updated_by","business_criticality","emergency_tier","data_classification","certified","model_id"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso",""
"","","","","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","COTS (Commercial Off-The-Shelf customized)","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","COTS (Commercial Off-The-Shelf customized)","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","COTS (Commercial Off-The-Shelf customized)","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"","","","COTS (Commercial Off-The-Shelf customized)","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","COTS (Commercial Off-The-Shelf customized)","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
"","","","","","","Cancelled","","","","","","","","","AF57388","","","","falso","Unknown"
