"name,""u_gbl_system_environment"",""sys_class_name"",""u_gbl_status_dco_atrium"",""sys_updated_on"",""u_last_discovery_date"",""sys_created_by"",""sys_updated_by"",""ip_address"",""os"",""u_gbl_apm_application"",""u_gbl_apm_application.u_sca_apm_ict_line_level_1_reference"",""u_gbl_apm_applicationcode"",""sn_vul_qualys_host_id"",""discovery_source"",""u_gbl_datasource"",""u_gbl_role"",""sys_created_on"",""sys_id""";
"elsitct00828h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:01:05"","""",""AE83408"",""VR.System"",""10.78.34.69"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""2b1fdd24-43a4-4a9e-8cb5-a8e52c18ec95"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:31:17"",""18fefde6db50a78474eb9a56db96193c""";
"elsitct00828h2,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:04:23"","""",""AE83408"",""VR.System"",""10.78.34.70"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""1a38e583-bd7f-499b-a2d1-09c86c037d80"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:29:48"",""3e9efda2db50a78474eb9a56db961930""";
"elsitct00828h2_duplicate,"""",""Server"",""Disposed"",""28/03/2025 16:09:10"",""28/02/2020 00:00:00"",""admin"",""system"","""",""SUSE Linux Enterprise Server 12 (x86_64) VERSION = 12 PATCHLEVEL = 3"","""","""","""","""","""",""DCO ATRIUM"","""",""27/02/2020 04:40:47"",""c2f6fd5c1b9f0450d12555be6e4bcb91""";
"elsitct00837h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:05:21"",""28/02/2020 00:00:00"",""admin"",""VR.System"",""10.78.75.21"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""00f2b8d1-d6e1-4581-8e62-0964ddeb81f2"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""27/02/2020 04:43:14"",""39873ddc1b9f0450d12555be6e4bcbd5""";
"elsitct00949h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:04:32"","""",""AE83408"",""VR.System"",""10.78.40.85"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""8b172b51-c331-48dc-873b-a160ad0a02fc"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""13/12/2018 17:10:38"",""2e7d9da2db562f801ca99635db9619cf""";
"elsitct00949h2,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:05:19"","""",""AE83408"",""VR.System"",""10.78.40.86"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""d7a15742-e808-48f7-90e3-c54fad121856"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""13/12/2018 15:39:02"",""f0888d2adb56eb801ca99635db96190a""";
"elsitct00953h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 07:59:15"","""",""AE83408"",""VR.System"",""10.78.5.117"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""c7783fb6-c586-4ca3-b872-e5d83313e196"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""27/09/2018 11:11:23"",""d61bd3e1db382b80872492b8db9619b6""";
"elsitct01046h1,""production"",""Server"",""Disposed"",""28/03/2025 16:05:58"","""",""AE83408"",""system"",""10.78.5.181"",""SuSE Linux 12"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"","""","""",""DCO ATRIUM"",""bcc"",""30/09/2018 18:32:13"",""cdcc503edbbceb80ac9e9ef7db961978""";
"elsitct01160h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:02:28"","""",""AE83408"",""VR.System"",""10.78.47.53"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""59042a4a-5be6-488d-9f59-dbfc5c00e39e"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:31:18"",""24fefde6db50a78474eb9a56db9619a0""";
"elsitct01160h2,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:00:09"","""",""AE83408"",""VR.System"",""10.78.47.54"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""0082e169-f5a9-4eff-9c68-9d8259d87333"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:29:43"",""e99e35a2db50a78474eb9a56db961959""";
"elsitct01435h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 07:58:12"","""",""AE83408"",""VR.System"",""10.78.59.101"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""34ec8580-ed01-4d0d-9a09-8d9685908734"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:31:21"",""d1feb12adb50a78474eb9a56db9619dc""";
"elsitct01435h2,""production"",""Server Linux"",""Deployed"",""03/06/2026 07:57:26"","""",""AE83408"",""VR.System"",""10.78.59.102"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""6266fcd8-919f-4c27-bd46-c1374978d03d"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:29:45"",""719e35a2db50a78474eb9a56db9619ca""";
"elsitct01497h1,""production"",""Server"",""Disposed"",""28/03/2025 16:05:58"","""",""AE83408"",""system"",""10.78.5.197"",""SuSE Linux 12"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"","""","""",""DCO ATRIUM"",""bcc"",""30/09/2018 14:50:42"",""c41a23aadb34eb80ac9e9ef7db9619a3""";
"elsitct01503h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:05:16"","""",""AE83408"",""VR.System"",""10.78.61.181"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""67469ae3-6f66-4831-bb6b-f2f92f12afd7"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:31:18"",""28fefde6db50a78474eb9a56db9619a6""";
"elsitct01503h2,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:05:22"","""",""AE83408"",""VR.System"",""10.78.61.182"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""cfe19c22-bfd9-491a-9665-623e7c935f08"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:30:02"",""8eaef5e2db50a78474eb9a56db96196e""";
"elsitct01669h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:06:10"","""",""AE74813"",""VR.System"",""10.78.4.229"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""950b1ec0-d067-4fde-a0fc-076a3988c9b8"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""07/12/2022 10:06:23"",""493db0fe1bab55d4d40e635ee54bcbfd""";
"elsitct01673h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:15:18"","""",""VR.System"",""VR.System"",""10.78.5.85"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""adb92322-e862-4be1-adee-4f4820fc90e2"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""04/09/2021 03:51:04"",""da38e7be1b167450622ca6cee54bcb3d""";
"elsitcz00855h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:02:51"","""",""AE83408"",""VR.System"",""10.78.35.229"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""742e1f2a-d736-42cc-8dab-f7a71129574f"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:31:21"",""99fe712adb50a78474eb9a56db961998""";
"elsitcz00855h2,""production"",""Server Linux"",""Deployed"",""03/06/2026 07:57:33"","""",""AE83408"",""VR.System"",""10.78.35.230"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""04b00e0a-e43b-42b6-afc1-d17985a12a37"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:29:49"",""7e9efda2db50a78474eb9a56db9619a0""";
"elsitcz00860h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:06:05"","""",""AE83408"",""VR.System"",""10.78.36.37"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""cb853137-e8a8-445b-b714-b0ecd03c4fc3"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""16/01/2019 10:37:15"",""67794799db03ef0490e596d8db96199c""";
"elsitcz00900h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:02:46"","""",""admin"",""VR.System"",""10.78.37.213"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""3500571d-0d64-4f48-9763-b9d527b85b1e"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""13/11/2021 00:08:19"",""6c4267d91bb7fc90622ca6cee54bcb24""";
"elsitcz00944h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:05:48"","""",""AE83408"",""VR.System"",""10.78.40.37"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""d2df497f-430c-4c6f-b454-a057a49ef75e"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:31:12"",""0fee3de6db50a78474eb9a56db961988""";
"elsitcz00944h2,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:06:03"","""",""AE83408"",""VR.System"",""10.78.40.38"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""afea35ce-18ed-4d70-a3b2-1bdb7d41d384"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:29:43"",""959e35a2db50a78474eb9a56db96191b""";
"elsitcz01019h1,""production"",""Server Linux"",""Disposed"",""21/04/2026 18:10:13"","""",""AE83408"",""AF19464"",""10.78.42.21"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"","""",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""14/01/2019 14:38:05"",""c47d2178db83efc07ed19ce8db96193e""";
"elsitcz01502h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:02:49"","""",""VR.System"",""VR.System"",""10.78.61.165"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""1a35cbf7-f106-4438-8981-fac35481c76f"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""04/09/2021 01:30:40"",""bd184b3e1b163850d82640c1b24bcb5f""";
"elsiten00810h1,""production"",""Server"",""Disposed"",""28/03/2025 16:05:59"","""",""AE83408"",""system"",""10.78.70.37"",""SuSE Linux 12"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"","""","""",""DCO ATRIUM"",""bcc"",""01/10/2018 19:10:14"",""6f0fa18fdb74270074eb9a56db961927""";
"elsiten00813h1,""production"",""Server Linux"",""Disposed"",""28/03/2025 16:14:21"",""28/02/2020 00:00:00"",""admin"",""system"",""10.78.33.165"",""SuSE Linux 12"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"","""","""",""DCO ATRIUM"",""bcc"",""27/02/2020 04:43:44"",""8da7b1101bdf0450d12555be6e4bcb39""";
"elsiten00829h1,""production"",""Server"",""Disposed"",""28/03/2025 16:05:48"","""",""AE83408"",""system"",""10.78.34.101"",""SuSE Linux 12"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"","""","""",""DCO ATRIUM"",""bcc"",""05/09/2018 10:31:17"",""14fefde6db50a78474eb9a56db961936""";
"elsiten00829h2,""production"",""Server"",""Disposed"",""28/03/2025 16:05:47"","""",""AE83408"",""system"",""10.78.34.102"",""SuSE Linux 12"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"","""","""",""DCO ATRIUM"",""bcc"",""05/09/2018 10:29:57"",""7cae75e2db50a78474eb9a56db9619f2""";
"elsiten00994h1,""production"",""Server"",""Disposed"",""25/06/2025 16:00:16"","""",""AE83408"",""AF40527"",""10.78.41.133"",""SuSE Linux 12"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"","""","""",""DCO ATRIUM"",""bcc"",""05/09/2018 10:30:33"",""a9cef5a6db50a78474eb9a56db9619ee""";
"elsiten01670h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:06:01"","""",""AE83408"",""VR.System"",""10.78.11.37"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""3769141d-4bb6-4589-a768-de99537140af"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:30:33"",""adcef5a6db50a78474eb9a56db9619f4""";
"elsiten01674h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:10:54"","""",""AE83408"",""VR.System"",""10.78.11.53"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""06031749-fb43-40f0-bc65-a8cbdf490a5f"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""11/01/2019 13:03:49"",""a11bf9bbdb72e3c072cd9ce8db961979""";
"elsiten10016h1,""production"",""Server"",""Disposed"",""28/03/2025 16:05:47"","""",""AE83408"",""system"",""10.78.67.85"",""SuSE Linux 12"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"","""","""",""DCO ATRIUM"",""bcc"",""05/09/2018 10:30:32"",""6dce35a6db50a78474eb9a56db961987""";
"elsitfc00393h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:05:41"","""",""AE83408"",""VR.System"",""10.78.17.5"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""bce03700-10c6-44d0-b46e-70ff9d345a92"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:30:34"",""79ce39a6db50a78474eb9a56db961920""";
"elsitfe00321h1,""production"",""Server Linux"",""Deployed"",""03/06/2026 08:05:42"","""",""AE83408"",""VR.System"",""10.78.14.117"",""SUSE Linux Enterprise Server 15 SP3"",""BCC - Beyond Cloud Computing"",""Infrastructure & Technological Services"",""AP08211"",""a25f86ab-aa10-4dd7-a3bb-94aac1e585ad"",""BMC Discovery"",""DCO ATRIUM"",""bcc"",""05/09/2018 10:30:45"",""68de7da6db50a78474eb9a56db96191e""";
